name,rmse,mae,mape
"manual SARIMA(1, 1, 1)(0, 1, 1, 12)",22.256984384784534,17.160170259610776,3.8757163278452333
"ARIMA(2, 1, 2)",55.22283887446977,41.83479812438893,8.220491126915036
"auto-SARIMA(2, 1, 2)(0, 1, 1, 12)",17.861106103195514,14.346002417159815,2.9859594020679974
